tv_symbol,yahoo_symbol,previous_close,volume
TSE:7919,7919.T,200,3900
TSE:4598,4598.T,202,136600
TSE:9229,9229.T,203,31600
TSE:9327,9327.T,204,6700
TSE:2375,2375.T,205,16400
TSE:2656,2656.T,205,400700
TSE:2459,2459.T,207,29500
TSE:8077,8077.T,207,14100
TSE:7138,7138.T,208,102200
TSE:3121,3121.T,210,44300
TSE:4558,4558.T,211,183100
TSE:7795,7795.T,211,85100
TSE:6195,6195.T,212,22000
TSE:6572,6572.T,214,147100
TSE:7135,7135.T,214,22800
TSE:2435,2435.T,217,7700
TSE:4017,4017.T,217,3600
TSE:4882,4882.T,217,161000
TSE:6552,6552.T,218,100300
TSE:3719,3719.T,219,189700
TSE:1840,1840.T,220,11100
TSE:2345,2345.T,220,441000
TSE:3372,3372.T,220,10700
TSE:3825,3825.T,220,1001200
TSE:4766,4766.T,221,8800
TSE:9434,9434.T,221.8,12392800
TSE:4875,4875.T,222,32400
TSE:6662,6662.T,222,13900
TSE:3550,3550.T,223,9500
TSE:7035,7035.T,223,33900
TSE:3656,3656.T,224,6174300
TSE:4584,4584.T,225,356000
TSE:3680,3680.T,229,16800
TSE:5986,5986.T,230,53700
TSE:6619,6619.T,231,2612100
TSE:7822,7822.T,231,6900
TSE:7908,7908.T,231,107000
TSE:297A,297A.T,232,20400
TSE:8944,8944.T,234,14900
TSE:9876,9876.T,234,13600
TSE:9969,9969.T,235,7400
TSE:3137,3137.T,236,217100
TSE:2181,2181.T,236.5,6635300
TSE:2479,2479.T,237,21400
TSE:3909,3909.T,237,19100
TSE:6198,6198.T,237,2600
TSE:6538,6538.T,237,26700
TSE:7494,7494.T,237,32700
TSE:9466,9466.T,237,17700
TSE:2471,2471.T,238,279800
TSE:3187,3187.T,238,46200
TSE:3996,3996.T,238,56200
TSE:3639,3639.T,240,4400
TSE:4651,4651.T,241,528300
TSE:7359,7359.T,242,22400
TSE:8254,8254.T,242,9500
TSE:9557,9557.T,242,23900
TSE:3758,3758.T,243,10100
TSE:2183,2183.T,244,19500
TSE:5010,5010.T,245,96800
TSE:8746,8746.T,245,73600
TSE:3133,3133.T,249,506400
TSE:2693,2693.T,250,158500
TSE:9812,9812.T,250,14800
TSE:4424,4424.T,251,11700
TSE:4720,4720.T,251,3500
